kode_error,id_record,pesan_error
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
SKIP,,"no actionable codes in row"
